City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
127,Nikolskoye,59.7035,30.7861,45.81,51,52,3.22,RU,broken clouds
128,Abu Dhabi,24.4667,54.3667,95.11,28,5,8.05,AE,clear sky
129,Hithadhoo,-0.6,73.0833,83.61,67,100,6.15,MV,overcast clouds
130,Cidreira,-30.1811,-50.2056,65.03,73,75,6.96,BR,broken clouds
131,Vryburg,-26.9566,24.7284,62.82,80,88,14.38,ZA,light rain
132,Hasaki,35.7333,140.8333,61.29,65,100,10.51,JP,overcast clouds
133,Cosamaloapan,18.3667,-95.8,74.73,96,44,2.01,MX,scattered clouds
134,Bethel,41.3712,-73.414,41.49,92,0,1.01,US,clear sky
135,Manokwari,-0.8667,134.0833,83.01,73,8,4.16,ID,clear sky
136,Belyy Yar,53.6039,91.3903,76.89,14,0,6.71,RU,clear sky
137,Launceston,-41.45,147.1667,68.61,60,100,14.97,AU,overcast clouds
138,Pochutla,15.7432,-96.4661,77.83,68,8,2.19,MX,clear sky
139,Riyadh,24.6877,46.7219,82.54,13,0,11.1,SA,clear sky
140,Yanam,16.7333,82.2167,96.94,41,24,10.94,IN,few clouds
141,Jiazi,22.8779,116.067,70.43,66,98,15.93,CN,overcast clouds
142,Caravelas,-17.7125,-39.2481,74.26,82,100,10.92,BR,overcast clouds
143,Ihosy,-22.4,46.1167,77.92,58,17,8.66,MG,few clouds
144,East London,-33.0153,27.9116,65.34,77,0,4.61,ZA,clear sky
145,Tabou,4.423,-7.3528,76.17,85,100,6.35,CI,overcast clouds
146,Baykit,61.67,96.37,41.94,100,100,8.99,RU,overcast clouds
147,Airai,-8.9266,125.4092,64.69,94,100,2.17,TL,heavy intensity rain
148,Salur,18.5333,83.2167,106.14,18,82,9.24,IN,broken clouds
149,Madera,37.1666,-119.8343,55.49,85,28,5.23,US,scattered clouds
150,Sosnovo-Ozerskoye,52.5249,111.5418,47.41,53,100,15.79,RU,overcast clouds
151,Tigil,57.8,158.6667,23.77,91,100,6.29,RU,overcast clouds
152,Asau,46.4333,26.4,38.32,69,100,9.75,RO,overcast clouds
153,Burns Lake,54.2331,-125.7533,22.42,95,93,2.46,CA,overcast clouds
154,Kavaratti,10.5669,72.642,84.43,71,47,5.39,IN,scattered clouds
155,Pointe Michel,15.25,-61.3833,77.56,77,45,17.2,DM,scattered clouds
156,Umm Kaddadah,13.6017,26.6876,92.75,20,60,7.92,SD,broken clouds
157,Hamilton,39.1834,-84.5333,39.99,69,0,3.44,US,clear sky
158,Dunedin,-45.8742,170.5036,54.81,77,99,8.01,NZ,overcast clouds
159,Birao,10.2849,22.7882,96.4,28,9,8.14,CF,clear sky
160,Cayenne,4.9333,-52.3333,80.1,1,75,4.61,GF,broken clouds
161,Pilar,-9.5972,-35.9567,75.13,97,31,3.38,BR,scattered clouds
162,Longyearbyen,78.2186,15.6401,21.04,73,75,3.44,SJ,broken clouds
