City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Tatarbunary,UA,2022-04-13 09:42:53,45.8373,29.6142,54.63,34,98,22.66
193,Hambantota,LK,2022-04-13 09:42:54,6.1241,81.1185,82.74,94,40,6.91
194,Fairbanks,US,2022-04-13 09:38:08,64.8378,-147.7164,28.09,71,0,0.0
195,Itoman,JP,2022-04-13 09:40:47,26.1247,127.6694,77.4,76,20,10.36
196,Grand Gaube,MU,2022-04-13 09:42:55,-20.0064,57.6608,84.6,80,15,10.0
197,Nosy Varika,MG,2022-04-13 09:42:55,-20.5833,48.5333,79.63,73,66,4.94
198,Zemio,CF,2022-04-13 09:42:56,5.0314,25.1361,98.85,31,24,3.27
199,Buala,SB,2022-04-13 09:42:57,-8.145,159.5921,80.51,77,98,8.19
200,Kalmunai,LK,2022-04-13 09:42:57,7.4167,81.8167,86.11,69,99,15.7
201,Anori,BR,2022-04-13 09:42:57,-3.7728,-61.6442,72.88,99,100,2.06
202,Itarema,BR,2022-04-13 09:42:58,-2.9248,-39.9167,78.24,85,40,5.41
203,Oranjemund,NA,2022-04-13 09:42:58,-28.55,16.4333,67.78,67,1,9.48
204,Sistranda,NO,2022-04-13 09:42:59,63.7256,8.834,44.56,71,29,11.01
205,Saldanha,ZA,2022-04-13 09:42:59,-33.0117,17.9442,69.85,81,84,13.29
206,Hovd,MN,2022-04-13 09:42:59,48.0056,91.6419,32.36,63,100,13.76
207,Tungi,BD,2022-04-13 09:43:00,23.89,90.4058,93.2,52,75,11.5
208,Talcahuano,CL,2022-04-13 09:40:15,-36.7167,-73.1167,46.08,81,0,3.44
209,Longyearbyen,SJ,2022-04-13 09:43:00,78.2186,15.6401,24.64,68,75,5.75
210,Putina,PE,2022-04-13 09:43:01,-15.4667,-69.4333,39.83,68,8,2.17
211,Pitkyaranta,RU,2022-04-13 09:39:25,61.5734,31.4792,39.13,86,49,5.19
