City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
206,Miranda,CO,64.53,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
208,Tari,NG,89.98,scattered clouds,12.4086,4.4914,
213,Karema,TZ,77.74,broken clouds,-6.8205,30.4389,
218,Zabol,AF,79.48,overcast clouds,32.25,67.25,
220,Guane,CU,71.55,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
222,Shetpe,KZ,67.75,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
225,Meulaboh,ID,85.14,broken clouds,4.1363,96.1285,Kost Pria
226,Loa Janan,ID,89.2,broken clouds,-0.583,117.095,Kost bu jono
230,Daru,PG,81.7,overcast clouds,-9.0763,143.2092,Daru Lodge
231,Acurenam,GQ,76.32,overcast clouds,1.0322,10.6488,
232,San Policarpo,PH,83.1,scattered clouds,12.1791,125.5072,Agapita M. Nicart
233,Tonota,BW,60.78,overcast clouds,-21.4833,27.4833,Semotswane Baraka Lodge
234,Dingle,PH,85.5,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
239,Mount Gambier,AU,60.71,light intensity shower rain,-37.8333,140.7667,The Commodore
241,Vanimo,PG,82.58,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
242,Blythe,US,70.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
245,Nelson Bay,AU,72.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
247,Yaan,NG,84.52,scattered clouds,7.3833,8.5667,
248,Emerald,AU,84.34,clear sky,-23.5333,148.1667,The Irish Village
250,Bilma,NE,88.05,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
251,Tagusao,PH,83.68,overcast clouds,9.1924,117.8141,Green Villa beach resort
252,Vaitape,PF,81.37,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
254,Tupelo,US,62.89,broken clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
255,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
258,Saint-Joseph,RE,84.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
259,Cabinda,AO,78.94,few clouds,-5.55,12.2,Hotel Maiombe
260,Teahupoo,PF,73.36,clear sky,-17.8333,-149.2667,Vanira Lodge
264,Makat,KZ,64.83,few clouds,47.6469,53.3463,Umit
265,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
268,Taoudenni,ML,74.73,clear sky,22.6783,-3.9836,
269,Salinopolis,BR,77.22,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
270,Lakatoro,VU,80.82,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
272,Kieta,PG,79.36,light rain,-6.2167,155.6333,Uruna Bay Retreat
273,Labuhan,ID,85.53,broken clouds,-6.8844,112.2051,DoubleFAG
274,Ahipara,NZ,62.94,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
276,Lalmohan,BD,87.21,clear sky,22.3384,90.7419,Arifur Rahman Miraj
280,Asfi,MA,66.9,overcast clouds,32.2994,-9.2372,Hôtel Abda
281,Nuevo Progreso,MX,76.89,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
282,Saint George,US,61.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
283,Fukue,JP,64.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
284,Tarakan,ID,83.52,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
287,Sao Filipe,CV,69.87,broken clouds,14.8961,-24.4956,Hotel Xaguate
289,Porto Walter,BR,69.33,clear sky,-8.2686,-72.7439,Secretaria de saúde
290,Jumla,NP,71.62,scattered clouds,29.2747,82.1838,Royal Garden Hotel
293,Mollendo,PE,65.3,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
296,Biloela,AU,72.19,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
298,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
299,Trairi,BR,74.88,overcast clouds,-3.2778,-39.2689,janelas do mar
300,Aleksandrov Gay,RU,63.88,overcast clouds,50.147,48.5704,Gostinitsa
302,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
306,Santarem,BR,75.33,broken clouds,-2.4431,-54.7083,Hotel Imperador
307,Santa Ines,BR,72.28,overcast clouds,-3.6667,-45.38,Palace hotel
308,Ngunguru,NZ,63.19,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
309,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
310,Omboue,GA,81.36,overcast clouds,-1.5746,9.2618,Hotel Olako
311,Aloleng,PH,85.19,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
312,Kikwit,CD,78.48,light rain,-5.041,18.8162,HOTEL PLACE YALABA
313,Manicore,BR,72.16,heavy intensity rain,-5.8092,-61.3003,Hotel Durval
315,El Puente,HN,78.19,scattered clouds,13.2833,-87.1167,Centro de yusguare
316,Cururupu,BR,73.17,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
318,Sao Joao Batista,BR,64.11,clear sky,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
319,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
320,Bograd,RU,72.75,broken clouds,54.2344,90.8328,Gostinitsa Berezka
323,Todos Santos,MX,67.55,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
324,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
327,Areia Branca,BR,77.31,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
329,Naze,JP,68.92,broken clouds,28.3667,129.4833,Shishime Hotel
331,Juan Aldama,MX,65.14,overcast clouds,24.2908,-103.3944,Hotel Morales
332,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
337,Mana,GF,76.23,overcast clouds,5.6592,-53.7767,LE SAMANA
338,Mega,ET,63.61,light rain,4.05,38.3,Amanuel Guest House
339,Safaga,EG,84.16,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
340,Neiafu,TO,81.79,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
341,Entebbe,UG,77.32,scattered clouds,0.0644,32.4469,WB APARTMENT
344,Pangai,TO,81.64,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
346,Yarim,YE,72.07,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
350,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
351,Bima,ID,82.76,overcast clouds,-8.4667,118.7167,Lambitu Hotel
354,Sirnak,TR,60.37,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
357,Port Lincoln,AU,65.05,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
358,Ponta Do Sol,PT,68.63,overcast clouds,32.6667,-17.1,Hotel do Campo
361,Remedios,CU,71.94,clear sky,22.4947,-79.5458,Hostal Yunai
364,Havelock,US,66.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
365,Donskoye,RU,68.85,scattered clouds,45.4552,41.9741,
367,Kefamenanu,ID,77.13,moderate rain,-9.4467,124.4781,Sokowindo Losmen
372,Ballina,AU,71.56,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
373,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
374,Cave Spring,US,60.73,broken clouds,37.2276,-80.0128,"Holiday Inn Roanoke-Tanglewood-Rt 419&I581, an IHG Hotel"
376,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
378,Las Lomas,PA,76.08,overcast clouds,8.4333,-82.4,Hotel Castilla
380,Praia,CV,68.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
381,Guiong,PH,83.53,overcast clouds,6.4186,122.0258,"Mosque Buli Buli , Sumisip"
382,Grand Gaube,MU,82.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
385,Loreto,MX,64.09,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
387,Korla,CN,66.36,clear sky,41.7597,86.1469,Gulisitan Hotel
388,Talgar,KZ,73.56,broken clouds,43.3027,77.2395,fazenda Umihalyicha
391,Darhan,MN,61.0,clear sky,49.4867,105.9228,Buudai Hotel
392,Mersing,MY,87.71,scattered clouds,2.4312,103.8405,Timotel Hotel
393,Aksu,CN,69.75,clear sky,41.1231,80.2644,Pudong Holiday Hotel
397,Sao Jose Do Belmonte,BR,70.84,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
398,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
402,Micheweni,TZ,82.45,light rain,-4.9667,39.8333,
404,Codrington,AU,63.19,moderate rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
406,Cockburn Town,TC,77.63,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
408,Shingu,JP,60.96,broken clouds,33.7333,135.9833,Shingu UI Hotel
409,Pauini,BR,71.71,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
410,Porto Santo,PT,61.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
411,Barao De Melgaco,BR,69.46,few clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
412,Gbarnga,LR,71.83,overcast clouds,6.9956,-9.4722,Passion Hotel 2
413,Edd,ER,88.41,overcast clouds,13.9297,41.6925,
416,Kalmunai,LK,86.68,overcast clouds,7.4167,81.8167,VS Villa
